CompoundID	SMILES
100354	CC1=NN(C(=O)CC1)c2ccc(C)cc2
101217	CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c2ccc(C)o2
100362	Clc1cccc(c1)N2CCC(=O)N2
101234	S=C(Nc1ccccc1)N2CCOCC2
100363	CCOC(=O)c1c(C)n(C)c2ccc(OCc3ccccc3)cc12
101235	Cc1cc(C)c(C=C(C#N)C#N)c(C)c1
100374	CCOC(=O)c1c(C)[nH]c2cc(Br)c(O)cc12
101236	CCOC(=O)C(=Cc1ccc(C)cc1C)C#N
100375	CC1C(C)c2ccccc2N1NC(=O)Cc3ccccc3
101246	CCOc1ccc(OCC)c(C=C(C#N)C#N)c1
100388	CN(NC(=O)COc1ccccc1)c2ccccc2
101247	CCOC(=O)C(=Cc1c(C)cc(C)cc1C)C#N
102006	COc1ccc(cc1)C(=O)C[n+]2cccc3cc(OC)ccc23
103170	CC1COP(=O)(O1)C2(CCCCC2)Nn3cnnc3
102014	CC(=O)C[n+]1ccc2ccccc2c1C
103306	CCc1ccc(N=Cc2c[nH]c3ccccc23)cc1
102028	CCc1cc2c(cccc2c[n+]1CC(=O)c3ccccc3)[N+](=O)[O-]
103308	Clc1cccc(Cl)c1N=Cc2c[nH]c3ccccc23
102045	O=C(C[n+]1ccc2ccccc2c1)c3ccccc3
103309	FC(F)(F)c1cccc(N=Cc2c[nH]c3ccccc23)c1
102046	COC(=O)C[n+]1ccc2ccccc2c1
103311	C(=Nn1cnnc1)c2c[nH]c3ccccc23
102072	C[n+]1ccccc1CCC(=O)c2cccs2
103331	CC(C)OP(=O)(OC(C)C)C(NS(=O)(=O)c1ccccc1)C(Cl)(Cl)Cl
102078	COc1ccc(cc1)c2cc3c4cccn4ccn3c2
103337	Clc1cc(Cl)cc(N=Cc2c[nH]c3ccccc23)c1
102086	c1cc2c3cc(cn3ccn2c1)c4ccccc4
103343	CC1CCOP(=O)(O1)C(NS(=O)(=O)c2ccccc2)C(Cl)(Cl)Cl
102099	CC(C)NC(=O)CCc1c(C)[nH]c2ccccc12
103345	CC1COP(=O)(O1)C(NS(=O)(=O)c2ccccc2)C(Cl)(Cl)Cl
102100	Cc1[nH]c2ccccc2c1CCC(=O)NC3CCCCC3
103346	CC1OP(=O)(OC1C)C(NS(=O)(=O)c2ccccc2)C(Cl)(Cl)Cl
100389	O=C(Cc1ccccc1)NN(Cc2ccccc2)c3ccccc3
101254	Cc1cc(C)c(C=NNC(=O)N)c(C)c1C=NNC(=O)N
100390	Clc1cccc(NNC(=O)Cc2ccccc2)c1
101255	CCOC(=O)C(=Cc1cc(OCC)ccc1OCC)C#N
100391	O=C(Cc1ccccc1)NNc2ccccc2
101259	Cc1ccc(C=CC(=NNC(=O)N)c2cccs2)c(C)c1
100392	CC(C)(C)C(=O)NNCc1ccccc1
101267	CCOc1ccc(OCC)c(c1)C2C(=C(N)OC3=C2C(=O)CC(C)(C)C3)C#N
100395	CCC(=O)NN(Cc1ccccc1)c2ccccc2
101270	CCOc1ccc(OCC)c(c1)C2C3CCC=C3C(=C(N)C2(C#N)C#N)C#N
100396	CC1Cc2ccccc2N1C(=O)Cc3ccccc3
101271	CCOc1ccc(OCC)c(c1)C2C3CCCC=C3C(=C(N)C2(C#N)C#N)C#N
100432	CC(Cc1ccccc1)NC(=O)C(c2ccccc2)c3ccccc3
101275	CCOc1ccc(OCC)c(C=CC(=O)c2cccs2)c1
100436	CC(Cc1ccccc1)NC(=O)CCc2ccccc2
101281	CCOC(=O)C1=C(N)OC2=C(C1c3cc(OCC)ccc3OCC)C(=O)CC(C)(C)C2
100451	CC(NC(=O)Cc1ccccc1)c2ccccc2
101286	Cc1c(C2C(=C(N)OC3=C2C(=O)CC(C)(C)C3)C#N)c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-]
100454	CC(Cc1ccccc1)NC(=O)NC(C)Cc2ccccc2
101287	Cc1c(C2C(=C(N)SC(=C2C#N)N)C#N)c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-]
102102	Cc1[nH]c2ccc(C)cc2c1CCC(=O)NC3CCCCC3
103353	CC(=NNc1ccccc1)CC(=O)n2cnnc2
102103	Cc1[nH]c2ccccc2c1CCCNC3CCCCC3
103357	CC(=NNc1ccccc1)CC(=O)Nc2cccc(c2)C(F)(F)F
102104	CCOC(=O)c1c(C)n(C)c2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c12
103363	CCC1CCCCN1C(=O)CC(=NNc2ccccc2)C
102105	CCOC(=O)c1c(C)n(C)c2ccc(O)cc12
103378	O=C(C1C(=O)c2ccccc2C1=O)c3ccccc3
102106	N#CCCC12CCCCC2=Nc3ccccc31
103384	OCC1(C(=O)c2ccccc2C1=O)c3ccccc3
102118	COc1ccc(C=C[N+](=O)[O-])cc1OC
103393	COc1ccc(C=C2C(=O)c3ccccc3C2=O)cc1OC
102119	[O-][N+](=O)c1ccccc1CC(=O)c2ccccc2
103397	O=C1C(C(=O)c2ccccc12)c3ccccn3
102131	COc1ccc(CNN)c(OC)c1
103407	Oc1ccc(cc1)C2C(=O)c3ccccc3C2=O
102142	CCCC(=O)NCCc1ccccc1
103434	OC(=O)CC1(C(=O)c2ccccc2C1=O)c3ccccc3
102148	CCC(=O)NCCc1ccc(OC)cc1
103447	CC(=NNc1ccccc1)Cc2ccccc2
100459	COc1ccc(C=NC(C)c2ccccc2)cc1
101288	CCOC(=O)C1=C(C)OC(=C(C#N)C1c2c(C)c([N+](=O)[O-])c(C)c([N+](=O)[O-])c2C)N
100460	COc1ccc(C=NC(C)c2ccccc2)cc1
101289	Cc1c(C2C(=C(N)Oc3[nH]c(=O)[nH]c(=O)c23)C#N)c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-]
100468	OC1CN(C1)C(c2ccccc2)c3ccccc3
101291	CCOC(=O)C1=C(N)OC2=C(C1c3c(C)cc(C)cc3C)C(=O)CC(C)(C)C2
100480	CC(C)C(Nc1ccccn1)n2cncn2
101292	Cc1cc(C)c(C)c(C=C(C#N)C#N)c1C
